url,date
https://portalsped.fazenda.mg.gov.br/portalnfce/sistema/qrcode.xhtml?p=31230304641376025473650140000531841693496027|2|1|1|48D0AC9495BE2E37E524E0A1C27151F299DCF3B8,2023-04-22
https://portalsped.fazenda.mg.gov.br/portalnfce/sistema/qrcode.xhtml?p=31230425994179000685650240002401891001807266|2|1|1|1A294A26D0067113720E2FF2B7532400CC9D89B6,2023-04-23
